Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
2.99999999999999876e-03	BoneTrunk	-1.65748596223987826e-02	4.77847383030854181e-02	7.38509952890666455e-01	-1.13453468456007698e+02	1.13526083285404002e+03	-2.57020679009681953e+03	BoneLeftThigh	-1.23119072224382731e-02	1.23860143067855588e-01	5.67912788977005589e-01	-8.63033792168158811e+02	-1.13526083285583627e+03	2.42363514311380277e+03	BoneLeftThigh	7.42488506567676176e-03	1.10089964416588248e-01	6.01916676840946852e-01	9.76487260624166538e+02	1.79627177288627083e-09	1.46571646983016990e+02
3.09999999999999859e-03	BoneTrunk	-1.65748596223928291e-02	4.77847383029778305e-02	7.38509952890902932e-01	-1.13213576736085315e+02	1.13292040799500160e+03	-2.56477235888974883e+03	BoneLeftThigh	-1.23222510162140156e-02	1.23860143067957437e-01	5.67918793213468831e-01	-8.60473177860353417e+02	-1.13292040799679057e+03	2.41877251453317058e+03	BoneLeftThigh	7.42488531822665249e-03	1.10091249363917870e-01	6.01916675004496748e-01	9.73686754596438732e+02	1.78917749172386095e-09	1.45999844356578222e+02
3.19999999999999842e-03	BoneTrunk	-1.65748596223866951e-02	4.77847383028670650e-02	7.38509952891146515e-01	-1.12975016148801060e+02	1.13059498627367589e+03	-2.55936808762959390e+03	BoneLeftThigh	-1.23329261018449536e-02	1.23860143068062298e-01	5.67924994160221575e-01	-8.57902055008823595e+02	-1.13059498627545531e+03	2.41394540664411034e+03	BoneLeftThigh	7.42488557881941166e-03	1.10092575847009183e-01	6.01916673101972832e-01	9.70877071157624755e+02	1.77950608076024898e-09	1.45422680985483964e+02
3.29999999999999825e-03	BoneTrunk	-1.65748596223804223e-02	4.77847383027539332e-02	7.38509952891395427e-01	-1.12737774399611979e+02	1.12828443111055935e+03	-2.55399369768916904e+03	BoneLeftThigh	-1.23439315942263511e-02	1.23860143068169407e-01	5.67931391722652834e-01	-8.55320495789808433e+02	-1.12828443111233128e+03	2.40915347437444279e+03	BoneLeftThigh	7.42488584728879034e-03	1.10093943792179266e-01	6.01916671133770675e-01	9.68058270189420227e+02	1.77210549385932505e-09	1.44840223314726273e+02
3.39999999999999808e-03	BoneTrunk	-1.65748596223740594e-02	4.77847383026390529e-02	7.38509952891648336e-01	-1.12501839353798147e+02	1.12598860770259193e+03	-2.54864891406154220e+03	BoneLeftThigh	-1.23552666067624599e-02	1.23860143068278167e-01	5.67937985817134949e-01	-8.52728571431189266e+02	-1.12598860770435567e+03	2.40439637632109589e+03	BoneLeftThigh	7.42488612346530255e-03	1.10095353126612505e-01	6.01916669100284296e-01	9.65230410784987384e+02	1.76372823689189106e-09	1.44252537740446115e+02
3.49999999999999790e-03	BoneTrunk	-1.65748596223676270e-02	4.77847383025229375e-02	7.38509952891904131e-01	-1.12267199031342884e+02	1.12370738296915943e+03	-2.54333346524404033e+03	BoneLeftThigh	-1.23669302513517397e-02	1.23860143068388093e-01	5.67944776370930993e-01	-8.50126352208662297e+02	-1.12370738297091589e+03	2.39967377463792900e+03	BoneLeftThigh	7.42488640717641965e-03	1.10096803778353819e-01	6.01916667001905825e-01	9.62393551240005081e+02	1.75640515318367429e-09	1.43659690606111468e+02
3.59999999999999773e-03	BoneTrunk	-1.65748596223611461e-02	4.77847383024059824e-02	7.38509952892162147e-01	-1.12033841608566448e+02	1.12144062556582048e+03	-2.53804708327547223e+03	BoneLeftThigh	-1.23789216383721028e-02	1.23860143068498824e-01	5.67951763322104064e-01	-8.47513907492542671e+02	-1.12144062556756830e+03	2.39498533506815147e+03	BoneLeftThigh	7.42488669824656680e-03	1.10098295676302013e-01	6.01916664839025728e-01	9.59547749101109162e+02	1.74767479009396427e-09	1.43061748207320846e+02
3.69999999999999756e-03	BoneTrunk	-1.65748596223546235e-02	4.77847383022885139e-02	7.38509952892421495e-01	-1.11801755410277238e+02	1.11918820580306055e+03	-2.53278950355822144e+03	BoneLeftThigh	-1.23912398766655371e-02	1.23860143068610040e-01	5.67958946619426142e-01	-8.44891305721988033e+02	-1.11918820580480042e+03	2.39033072677381233e+03	BoneLeftThigh	7.42488699649737974e-03	1.10099828750203119e-01	6.01916662612031361e-01	9.56693061132265484e+02	1.73986338116210231e-09	1.42458776784409594e+02
3.79999999999999739e-03	BoneTrunk	-1.65748596223480801e-02	4.77847383021707817e-02	7.38509952892681509e-01	-1.11570928912041396e+02	1.11694999566647743e+03	-2.52756046490982862e+03	BoneLeftThigh	-1.24038840735228757e-02	1.23860143068721507e-01	5.67966326222289042e-01	-8.42258614455333827e+02	-1.11694999566820820e+03	2.38570962238186030e+03	BoneLeftThigh	7.42488730174769088e-03	1.10101402930644035e-01	6.01916660321307528e-01	9.53829543367375209e+02	1.73082219183183123e-09	1.41850842527968211e+02
3.89999999999999722e-03	BoneTrunk	-1.65748596223415368e-02	4.77847383020529939e-02	7.38509952892941746e-01	-1.11341350734762429e+02	1.11472586875994944e+03	-2.52235970944014389e+03	BoneLeftThigh	-1.24168533346680453e-02	1.23860143068833028e-01	5.67973902100614270e-01	-8.39615900361543709e+02	-1.11472586876167270e+03	2.38112169786565937e+03	BoneLeftThigh	7.42488761381365769e-03	1.10103018149046036e-01	6.01916657967235813e-01	9.50957251096306095e+02	1.72332340068343963e-09	1.41238011574484631e+02
