Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
7.90000000000000771e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.55652679233575373e+03	1.87724460965258216e-01	-2.06513682556863643e-01	-5.27957762440542751e+02	1.74681344084720013e+03
8.00000000000000711e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.55195262926016176e+03	1.87703565421698776e-01	-2.08955435594404548e-01	-5.33244373263343050e+02	1.75176524739735100e+03
8.10000000000000650e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.54740067033050809e+03	1.87682426162816551e-01	-2.11392588822245653e-01	-5.38501622468690016e+02	1.75671602341548851e+03
8.20000000000000590e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.54287074301431312e+03	1.87661043646689091e-01	-2.13825161274605602e-01	-5.43729746725511632e+02	1.76166573250213287e+03
8.30000000000000529e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.53836267668681057e+03	1.87639418329507091e-01	-2.16253171820002255e-01	-5.48928980063033691e+02	1.76661433846537648e+03
8.40000000000000469e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.53387630258217860e+03	1.87617550665589605e-01	-2.18676639174852916e-01	-5.54099553933473544e+02	1.77156180534375221e+03
8.50000000000000408e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.52941145377269913e+03	1.87595441107399369e-01	-2.21095581902364113e-01	-5.59241697242379701e+02	1.77650809739930719e+03
8.60000000000000347e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.52496796514056223e+03	1.87573090105557810e-01	-2.23510018415584710e-01	-5.64355636387328559e+02	1.78145317911920688e+03
8.70000000000000287e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.52054567335215188e+03	1.87550498108859875e-01	-2.25919966979348796e-01	-5.69441595293658679e+02	1.78639701521515690e+03
8.80000000000000226e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.51614441682866527e+03	1.87527665564288432e-01	-2.28325445714439024e-01	-5.74499795454302216e+02	1.79133957062743707e+03
